day_of_week,event_flag,mean_mape
Friday,Arigato,10.102610992880633
Friday,Christmas,6.411169694430184
Friday,EOFY,14.59607107697016
Friday,LongWeekend,8.361123776258887
Friday,Vivid,15.974702552835799
Monday,Arigato,7.79609816864167
Monday,EOFY,18.120857345072736
Monday,LongWeekend,14.078668883364275
Monday,Vivid,13.875673393339536
Saturday,Arigato,9.343948000727899
Saturday,EOFY,13.613396827955999
Saturday,LongWeekend,8.232950101115645
Saturday,Vivid,12.98131935655577
Sunday,Arigato,11.841747472450667
Sunday,EOFY,13.369189197848248
Sunday,LongWeekend,9.949035654130375
Sunday,Vivid,17.809531879362755
Thursday,Arigato,8.221185061754003
Thursday,Christmas,7.415942045191196
Thursday,EOFY,14.017778694126156
Thursday,LongWeekend,7.7730565113208945
Thursday,Vivid,13.44553422720223
Tuesday,Arigato,10.231641879779575
Tuesday,Christmas,6.936831545672969
Tuesday,EOFY,16.92240166650772
Tuesday,Vivid,26.985480840035393
Wednesday,Arigato,19.921777760676598
Wednesday,Christmas,7.69541691622081
Wednesday,EOFY,13.750965387328442
Wednesday,Vivid,20.313144429653295
